Census Block,FY22 Count,FY23 Count,FY24 Count,Grand Total
421010101006002,,1,1,2
421010101006003,,1,,1
421010102002008,,1,,1
421010102003007,,1,,1
421010103001002,1,,,1
421010103002001,,,1,1
421010104001001,,,1,1
421010104001003,1,,,1
421010104001004,,,2,2
421010104003000,,,1,1
421010104003003,,,1,1
421010104003010,,1,,1
421010105002019,,,1,1
421010105002022,,,1,1
421010105002028,,,1,1
421010106001001,2,1,,3
421010106002011,,,1,1
421010106002014,,,1,1
421010107001002,,,1,1
421010108001018,,1,,1
421010108003020,1,,,1
421010109001004,2,,,2
421010109003003,,1,,1
421010110002000,,,1,1
421010111002011,1,,,1
421010112001000,,,1,1
421010112002005,,,1,1
421010112003002,1,,,1
421010112007001,,,2,2
421010113003000,,1,1,2
421010113003002,,,1,1
421010114001006,,,1,1
421010114004003,,1,,1
421010114004004,,,1,1
421010114005005,,1,,1
421010114006002,,1,,1
421010114006009,,1,,1
421010114006010,,1,,1
421010115001003,,1,1,2
421010115001004,,,1,1
421010115001005,,,1,1
421010115002002,,,1,1
421010115003001,,,1,1
421010115003007,,1,,1
421010115003008,,,1,1
421010117001001,,4,,4
421010117001002,,1,,1
421010117002004,1,,,1
421010118001002,,1,,1
421010118001004,,,1,1
421010118002000,,1,,1
421010118002001,7,,,7
421010118003000,,1,,1
421010118003001,,1,,1
421010118005005,,1,,1
421010118005009,,,1,1
421010118006001,,,1,1
421010119001001,,,1,1
421010119001003,,,1,1
421010119003007,,,1,1
421010119004001,,,1,1
421010119004005,,,1,1
421010119004006,,1,,1
421010120001003,,1,,1
421010120001014,,,1,1
421010121001003,,1,,1
421010121002003,,1,,1
421010121002005,,,1,1
421010122044004,,2,,2
421010125021001,,,1,1
421010131001002,,,2,2
421010132001003,,,1,1
421010132001009,,1,,1
421010132003007,,1,,1
421010132004006,,1,,1
421010133001007,,1,,1
421010133001017,,1,,1
421010134012002,,1,,1
421010134021005,,,1,1
421010134021006,1,,,1
421010134023009,,,1,1
421010135001001,,1,1,2
421010135001002,,1,,1
421010135001003,,1,,1
421010135001004,,1,,1
421010135002003,,1,1,2
421010135002004,,1,,1
421010135002005,,,1,1
421010135002006,,1,1,2
421010135002018,,,1,1
421010135003002,,,1,1
421010135003003,,1,,1
421010135003008,,1,,1
421010135003009,,1,,1
421010135003012,,4,1,5
421010135003013,,1,,1
421010136011005,,,1,1
421010136011010,,1,,1
421010136021000,,1,,1
421010136021001,,,1,1
421010136021006,,,1,1
421010136022002,2,,,2
421010136022009,,,1,1
421010136023005,,1,,1
421010136024002,,1,,1
421010136024004,,1,,1
421010137011006,1,,,1
421010137011008,,1,,1
421010137012008,,1,,1
421010137023002,,,1,1
421010137024003,,1,,1
421010137024005,,,1,1
421010137024009,1,,,1
421010138001011,,1,,1
421010138001016,,1,,1
421010138002011,,,1,1
421010138002024,,,1,1
421010139003000,3,,,3
421010139003002,,1,,1
421010140001025,,,1,1
421010140001032,,1,,1
421010141001000,,1,,1
421010141002016,,1,,1
421010142011003,,1,,1
421010142011004,,1,,1
421010142012001,,,2,2
421010142012017,,,1,1
421010142021005,,1,,1
421010142021006,1,,,1
421010142021027,,1,,1
421010143002010,1,,,1
421010143002012,,1,,1
421010143002022,,,1,1
421010144001001,,1,,1
421010144001002,,1,,1
421010144002000,,1,,1
421010144002010,,1,,1
421010144003007,,1,,1
421010144003009,,,1,1
421010144004017,1,,,1
421010145001015,,1,,1
421010146002010,,1,,1
421010147001005,,1,,1
421010147001008,,1,,1
421010147002011,,1,,1
421010149003007,,1,,1
421010149006019,,1,,1
421010149006021,,1,,1
421010151011000,,1,1,2
421010151011008,,1,,1
421010151012007,,,1,1
421010151021003,,,1,1
421010151021017,,1,,1
421010152001000,,,1,1
421010152001001,,1,,1
421010152002000,,,1,1
421010153004017,,1,,1
421010156002002,1,,,1
421010156002009,,1,1,2
421010157002003,2,,1,3
421010157003007,,1,,1
421010157003020,,1,,1
421010157003035,,2,,2
421010158001003,1,,,1
421010158001007,,1,,1
421010158002002,,1,,1
421010158002012,1,,,1
421010158003008,,1,,1
421010158003011,,4,,4
421010158003013,,1,,1
421010158004000,,1,,1
421010158004004,,1,,1
421010158006003,,1,,1
421010160011005,,,1,1
421010160011006,,1,,1
421010160011019,1,,,1
421010160012009,,,1,1
421010160012012,,,1,1
421010160012014,1,,,1
421010160012016,,,1,1
421010160012018,1,,,1
421010160022004,2,1,,3
421010160022009,1,,,1
421010160022010,1,,1,2
421010160022011,1,,,1
421010160023004,1,,,1
421010160023008,,1,,1
421010160023011,2,,,2
421010160024002,1,,,1
421010160024003,1,,,1
421010160024010,,1,,1
421010160025000,,,1,1
421010160025004,,1,,1
421010160025007,,1,,1
421010160025008,,2,,2
421010161001036,,,1,1
421010161001039,,,1,1
421010161001045,1,,,1
421010161003000,1,,,1
421010161003007,2,,,2
421010161003008,1,,,1
421010161004006,,,1,1
421010161004011,1,,,1
421010162001019,,,1,1
421010162002001,,1,,1
421010162002008,,1,,1
421010162002012,,1,2,3
421010163001007,,1,,1
421010163002015,,3,,3
421010164001000,,2,,2
421010164001004,,,1,1
421010164001013,,1,,1
421010164003010,,,1,1
421010164003011,,,1,1
421010164004000,,1,1,2
421010164004001,,1,,1
421010164004007,,2,,2
421010165001016,,1,,1
421010165002007,,1,,1
421010167011007,,1,1,2
421010167013003,,1,,1
421010167013009,,1,,1
421010167022001,,1,,1
421010167024002,,1,,1
421010168001005,,,1,1
421010168002004,,1,,1
421010168002017,,,1,1
421010168003009,,1,,1
421010169011018,,1,,1
421010169012000,,1,,1
421010169021009,,,1,1
421010169024007,,1,,1
421010170001018,1,,,1
421010170001027,,1,,1
421010170003008,1,1,,2
421010171001001,,,1,1
421010171002000,,1,,1
421010171003005,,,1,1
421010171003019,,1,2,3
421010171004000,,,1,1
421010171004007,,1,,1
421010172013013,,1,,1
421010172023004,,2,,2
421010173001007,,1,,1
421010173003015,,3,,3
421010174001013,,1,,1
421010174002008,,,1,1
421010174002022,,1,,1
421010175001013,,2,,2
421010175002003,,,1,1
421010175003003,,1,,1
421010175004001,,1,,1
421010175004002,,3,,3
421010175006018,,1,,1
421010176011005,,1,1,2
421010176012018,,1,,1
421010176022002,,1,,1
421010177011004,,,1,1
421010177013000,,1,,1
421010177023006,1,,,1
421010178001022,1,,,1
421010178004013,,1,,1
421010179001001,1,,,1
421010179002001,,1,,1
421010179002003,,,1,1
421010179002005,1,,,1
421010179004006,,1,,1
421010179004011,1,,,1
421010179004016,,1,,1
421010179005000,,1,,1
421010179005007,,1,,1
421010179005016,1,,,1
421010180011003,,,1,1
421010180011015,1,,,1
421010180012000,,1,2,3
421010180012007,1,,,1
421010180013004,1,,,1
421010180013008,2,,,2
421010180013010,1,,,1
421010180021009,1,,,1
421010180022008,,,1,1
421010180022012,1,,,1
421010180023000,1,,,1
421010180023008,1,,,1
421010180023012,1,,,1
421010180023016,,,1,1
421010180023020,,1,1,2
421010180024002,1,,,1
421010180024008,,1,,1
421010183001006,1,,,1
421010183003017,1,,,1
421010183003019,,1,,1
421010183003021,1,,,1
421010183003022,1,,,1
421010183004001,1,,,1
421010183004002,,1,,1
421010184001011,3,,,3
421010184002022,1,,,1
421010184002024,,2,,2
421010188011004,1,,,1
421010188014007,1,,,1
421010188014009,1,,,1
421010188021000,1,,,1
421010190001002,,1,,1
421010190003010,,,1,1
421010190004007,,1,,1
421010190005000,,,1,1
421010192002003,,,1,1
421010192002005,,1,,1
421010192003004,2,1,2,5
421010192003006,,1,,1
421010192004012,,1,,1
421010192004015,,,1,1
421010192005000,,1,,1
421010195011000,,1,,1
421010195011001,,,1,1
421010195012006,,,1,1
421010195023001,,,1,1
421010197001002,,,1,1
421010197003000,,1,,1
421010197003002,1,,,1
421010197004003,,5,,5
421010197004004,,4,,4
421010197005000,,,2,2
421010197006001,1,2,,3
421010197006004,,1,,1
421010198001001,,2,,2
421010198001002,,2,,2
421010198002002,,1,,1
421010198002003,,2,,2
421010198002005,,,1,1
421010198003002,,1,,1
421010198003004,,,1,1
421010198005000,,1,,1
421010198005001,,2,,2
421010199002004,,,1,1
421010199004005,,,1,1
421010199004011,,1,,1
421010200001000,,3,,3
421010200002001,,,1,1
421010200002010,,1,,1
421010201011011,1,1,,2
421010201011019,,1,,1
421010201012008,,2,,2
421010201013005,,1,,1
421010201013006,,2,,2
421010201013009,,2,,2
421010201021002,,,1,1
421010201023001,,1,,1
421010201023005,,1,,1
421010201024005,,2,,2
421010201024008,,3,,3
421010202001000,,1,,1
421010202001004,,1,,1
421010202001005,,1,,1
421010202001009,1,1,,2
421010202001018,,1,,1
421010202003004,,,1,1
421010202003016,,,3,3
421010204001002,,,1,1
421010204002003,1,,,1
421010204003002,,1,,1
421010204003007,,1,,1
421010204004000,,,1,1
421010205001016,,,1,1
421010206001002,,,1,1
421010207012001,3,1,,4
421010207012004,,1,,1
421010207012007,,2,,2
421010207012010,,,1,1
421010207013000,,,1,1
421010207013005,,1,,1
421010207021000,,,1,1
421010207022001,,1,,1
421010207022008,,1,,1
421010207022010,,1,,1
421010208001000,5,,,5
421010209002003,,,2,2
421010209003003,1,,,1
421010209003008,,,1,1
421010209004008,,,1,1
421010209004010,,,1,1
421010210004017,,,1,1
421010210005002,1,,,1
421010210005005,,,1,1
421010211001006,1,,,1
421010211002002,,1,,1
421010211002008,,,1,1
421010211002013,1,,1,2
421010211002014,,,1,1
421010212001000,,1,1,2
421010212001003,,1,,1
421010212002009,,1,,1
421010213001001,,,1,1
421010213002004,,1,,1
421010213003002,,,1,1
421010213003003,,1,,1
421010213005006,2,,,2
421010214003004,,,1,1
421010214005002,,,1,1
421010214005015,,,1,1
421010215001006,,1,,1
421010215001007,,,1,1
421010215002001,1,,,1
421010215002002,,1,1,2
421010215002026,1,,,1
421010215002027,1,,,1
421010215002032,,1,,1
421010216001006,,1,,1
421010216002003,,,1,1
421010217001000,,,1,1
421010217001005,,1,,1
421010217001009,,,1,1
421010217002002,,,1,1
421010217002007,,1,,1
421010217004004,,1,,1
421010217004006,1,,,1
421010217004008,,1,1,2
421010218001004,,,1,1
421010218002001,,1,,1
421010220001004,,,1,1
421010220001008,,,2,2
421010231001004,,1,,1
421010231001016,,1,1,2
421010231001029,,1,,1
421010235001001,,,1,1
421010235001003,,,3,3
421010235001005,,2,,2
421010235001010,1,,,1
421010235001011,,,1,1
421010235001013,1,,,1
421010236001005,1,1,,2
421010236001007,1,,,1
421010236001013,1,,,1
421010236001019,,1,1,2
421010236001020,,1,,1
421010236002000,,,1,1
421010236002001,,1,2,3
421010236002004,,1,,1
421010236002010,,,1,1
421010236002011,2,,1,3
421010237001002,1,1,,2
421010237001003,,1,,1
421010237001005,,1,,1
421010237001016,,,1,1
421010237003015,,,1,1
421010238001005,1,,1,2
421010238003004,,,1,1
421010238004000,,1,,1
421010238004002,,1,,1
421010238005002,1,,,1
421010238005003,1,1,,2
421010240001005,,,1,1
421010240001020,,1,,1
421010241001001,,1,,1
421010242004005,1,,,1
421010242004007,,,1,1
421010242004008,,,1,1
421010243001003,,2,1,3
421010243001004,,2,,2
421010243002005,,,1,1
421010243004004,,,1,1
421010244001006,,1,,1
421010244002001,,,2,2
421010244002002,,1,,1
421010244002003,,,1,1
421010246002009,,,1,1
421010246003002,1,,,1
421010246003010,,,1,1
421010247001006,,1,,1
421010247002007,,,1,1
421010247003003,,,1,1
421010247003012,,1,,1
421010248001004,1,,,1
421010248002013,,,1,1
421010249001006,,,1,1
421010249002004,,,1,1
421010249004001,1,,,1
421010249004003,,1,,1
421010252004000,1,,,1
421010252005001,,1,,1
421010252006002,,,1,1
421010252006009,,1,,1
421010252006010,,1,,1
421010252006011,1,,,1
421010252007000,,,3,3
421010252007008,,,1,1
421010253001000,1,,,1
421010253001003,,1,,1
421010253001006,,,1,1
421010253002002,1,1,,2
421010253003006,1,,1,2
421010253005001,,1,,1
421010254001000,1,,1,2
421010254001007,,1,,1
421010254002002,,,1,1
421010254003000,1,,,1
421010254003005,,,1,1
421010254004002,,,1,1
421010254004005,,,1,1
421010255001001,1,,,1
421010255002011,1,,,1
421010255002013,,,1,1
421010255003001,,1,1,2
421010255003003,,,1,1
421010255003007,,,1,1
421010256001004,1,,,1
421010256001005,1,1,,2
421010256001006,,1,,1
421010256001007,1,1,,2
421010256001009,,2,,2
421010256001010,,1,,1
421010256001012,,1,1,2
421010256001013,,,1,1
421010256002005,,3,,3
421010256003002,,,1,1
421010256003006,,2,,2
421010257001000,,1,,1
421010257001001,1,,,1
421010257002005,,1,,1
421010257004001,,1,1,2
421010258001002,,,1,1
421010258001004,1,,,1
421010258001005,2,,,2
421010258001006,,1,,1
421010258001008,,,1,1
421010259001006,,,1,1
421010259004005,,1,,1
421010259005005,,,1,1
421010260001004,,2,1,3
421010260003006,1,,,1
421010261001009,,1,,1
421010261001018,1,,,1
421010261001021,,1,1,2
421010261002004,,1,,1
421010261003004,,1,,1
421010262003001,,1,,1
421010262003002,,,1,1
421010262003005,,1,,1
421010262004001,1,,,1
421010262004009,,1,,1
421010263014005,1,,,1
421010263021002,,,1,1
421010263021007,,,1,1
421010263023001,,1,,1
421010263024003,,1,,1
421010263024004,,,1,1
421010264001000,,1,,1
421010264001003,,,1,1
421010264001005,,1,,1
421010264001011,,1,,1
421010264001012,,,1,1
421010264002003,,1,,1
421010264002004,,1,,1
421010264003005,1,,,1
421010264003006,,,1,1
421010264003008,,,1,1
421010264003010,,,1,1
421010264003016,,,1,1
421010265005002,,,1,1
