Census Block,FY23 Count,FY24 Count,Grand Total
421010340003007,2,,2
421010341001005,,1,1
421010344004004,,1,1
421010346001001,,1,1
421010346001002,,3,3
421010347021005,,1,1
421010348022009,,1,1
421010349002006,,2,2
421010349003001,,1,1
421010352001016,,1,1
421010352002007,,1,1
421010353022003,2,,2
421010353022009,,1,1
421010355001008,,1,1
421010355001017,1,,1
421010355003005,,1,1
421010356022021,1,,1
421010363031002,,1,1
421010366001008,1,,1
421010375001017,,2,2
421010376002004,,4,4
421010378008000,1,,1
421010378008003,,1,1
421010378008012,,1,1
421010379005006,1,,1
421010379006001,1,,1
421010379006007,1,,1
421010380002020,,1,1
421010382002011,,1,1
421010382002013,,1,1
421010385001010,,1,1
421010387001013,,1,1
421010387001021,,1,1
421010387001025,1,,1
421010388001005,,1,1
421010388002001,,1,1
421010388002003,,1,1
421010388002004,,1,1
421010388002005,,1,1
421010388002012,4,,4
421010388003000,,1,1
421010388003002,,1,1
421010388004007,,1,1
421010388004010,1,1,2
Grand Total,383,570,953
